size,year,release_date,download_type,name,download_url,manifest_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"","2024","","steam_depot","CLOUDS REVAMP","","2012969860441050604","697e85be89f41a278734cee7","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","MONKE BLOCKS","","1109136838068279011","697e85be89f41a278734ceee","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","CRITTERS UPDATE","","2016622786773439965","697e85be89f41a278734cef3","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","GHOST REACTOR","","6362658578435958263","697e85be89f41a278734cef5","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","CREATOR FEST","","589416171898258913","697e85be89f41a278734cef7","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","PROP HAUNT","","2563509527335067888","697e85be89f41a278734cef6","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","RANKED MODE","","3043321800655748912","697e85be89f41a278734cef8","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","EGGY CRITTERS","","2165851274764079687","697e85be89f41a278734cef4","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","WAXING GIBBONS / HALLOWEEN 2024","","2154055295465731703","697e85be89f41a278734ceed","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","KITE FEST","","4896186935762350060","697e85be89f41a278734cef9","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","BAYOU BOOGIE","","3935186219455191051","697e85be89f41a278734ceec","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","SNOWBALL FIGHT","","1367215994416166011","697e85be89f41a278734cef0","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","MONKE BIZ","","8125101906352587258","697e85be89f41a278734cef1","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","HOVERBOARD UPDATE","","7557306701998880810","697e85be89f41a278734cef2","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","MAZES AND MONKEYS","","674120886711990235","697e85be89f41a278734cee8","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","PRIDE JAM","","8529762468897318010","697e85be89f41a278734cee9","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","ARCADE UPDATE","","3313958184175746550","697e85be89f41a278734ceeb","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2025","","steam_depot","HEAT WAVE","","8003541390110438090","697e85be89f41a278734cefa","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","METROPOLIS","","8612738834665184533","697e85be89f41a278734ceea","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","HOLIDAY UPDATE 2024","","6584850097575841067","697e85be89f41a278734ceef","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","I LAVA YOU (VALENTINES) 2024","","1372005950454291233","697e85be89f41a278734cee6","2026-01-31T22:44:14.036000","2026-01-31T22:44:14.036000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","google_drive","OLDEST GTAG VERSION PC","https://drive.google.com/","","697e85be89f41a278734cec9","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","google_drive","GORILLA LOCOMOTION FEB 2020","https://drive.google.com/","","697e85be89f41a278734cecb","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2022","","steam_depot","CHRISTMAS 2022","","7846756673248360873","697e85be89f41a278734cedc","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2023","","steam_depot","SPRING 2023","","5487763777743744746","697e85be89f41a278734cedf","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","steam_depot","HAT ROOM COSMETICS RELEASE","","5830392302374695549","697e85be89f41a278734cece","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","steam_depot","SLIPPERY WALLS INTRODUCED","","7345723381055924397","697e85be89f41a278734cecf","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2023","","steam_depot","FOREST LAVA","","7879805303656311610","697e85be89f41a278734cee2","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","steam_depot","CANYON RELEASE","","2519821153393002943","697e85be89f41a278734ced0","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2022","","steam_depot","WINTER 2022","","8111326296022235960","697e85be89f41a278734ced5","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","steam_depot","HUNT RELEASE","","977662270706390562","697e85be89f41a278734ced4","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2022","","steam_depot","HALLOWEEN 2022","","6724256960126827536","697e85be89f41a278734ceda","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2023","","steam_depot","CAVES REVAMP","","4517667507007620373","697e85be89f41a278734cee1","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2024","","steam_depot","SCIENCE 2024","","352194209707137278","697e85be89f41a278734cee5","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","direct_link","MULTIPLAYER INTRODUCED","https://cdn.discordapp.com/","","697e85be89f41a278734cecc","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","steam_depot","CITY RELEASE","","8486188048224112520","697e85be89f41a278734ced1","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2022","","steam_depot","MOUNTAINS RELEASE","","9222093099666950138","697e85be89f41a278734ced7","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2022","","steam_depot","SUMMER 2022","","6212573569393666544","697e85be89f41a278734ced8","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2023","","steam_depot","GT2","","8226996632576406070","697e85be89f41a278734cedd","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2023","","steam_depot","HALLOWEEN 2023","","6155112443238526399","697e85be89f41a278734cee3","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","steam_depot","GTAG STEAM RELEASE (2021)","","8480223242740007278","697e85be89f41a278734cecd","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2022","","steam_depot","LAUNCH DAY","","9211530748056500720","697e85be89f41a278734cedb","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2023","","steam_depot","BASEMENT 2023","","2836752869553824621","697e85be89f41a278734cede","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2023","","steam_depot","SUMMER SPLASH 2023 / BEACH RELEASE","","6583276257667612942","697e85be89f41a278734cee0","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2022","","steam_depot","VALENTINES 2022","","3402940780410030277","697e85be89f41a278734ced6","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2022","","steam_depot","PAINTBRAWL RELEASE","","974246606874981992","697e85be89f41a278734ced9","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","google_drive","JAN 29 2020","https://drive.google.com/","","697e85be89f41a278734ceca","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","steam_depot","HALLOWEEN 2021","","8773026304241958081","697e85be89f41a278734ced2","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2021","","steam_depot","CHRISTMAS 2021","","1790232358016968157","697e85be89f41a278734ced3","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
"","2023","","steam_depot","CHRISTMAS 2023","","7362717951501930919","697e85be89f41a278734cee4","2026-01-31T22:44:14.035000","2026-01-31T22:44:14.035000","697e84faecd47b83bcfdffc6","cpatterson12pc@gmail.com","false"
